Tipo de Peça,id_peça,Data,Média Delta temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Variação X,Variação Y,Variação Z,X_max,X_min,Y_max,Y_min,Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,Resultado
QUADRADO,1,2025-04-29 10:45:07/11:00:10,0.012395833333334197,0.8499999999999943,0.0018749999999997727,20.740135582106635,21.282438163352705,0.1646741667263268,145.63,75.16,144.94,74.71,67.0,4.294427233422159,32.40625,4.107959219292278,OK
L,2,2025-04-29 12:25:51/12:46:06,0.010319148936171408,0.6100000000000136,0.0007446808510638321,41.263555030147856,33.21533757624451,0.08261730719613383,166.86,50.39,170.19,50.52,65.40425531914893,3.125748594848474,32.92553191489362,5.1603104051466815,OK
RETANGULO,3,2025-05-02 10:10:26/10:25:49,-0.016363636363635508,2.530000000000001,0.0016883116883114426,23.023521868092345,38.73638825717398,0.09130630923032185,145.26,76.15,170.38,49.91,64.05194805194805,15.980988790876113,35.116883116883116,4.59683537016164,NOK
QUADRADO,4,2025-05-06 13:59:33/14:07:02,0.0012765957446839156,0.1299999999999954,-0.0014893617021278151,18.064202859509052,9.071851970894265,0.10090499582190261,143.85,75.16,139.18,84.27,66.38297872340425,1.5955534883920606,33.319148936170215,3.4458947407447496,NOK
QUADRADO,5,2025-05-07 09:23:20/09:38:24,-0.005714285714284579,0.0800000000000125,-0.0008163265306124438,21.32727304602951,18.44093145946764,0.1926929790948281,143.85,75.16,144.89,75.62,68.3061224489796,1.9071658860231415,33.61224489795919,4.006779443195868,OK
QUADRADO,6,2025-05-07 13:52:32/14:07:23,0.01376470588235514,0.5600000000000023,-0.0005882352941178633,21.367746782571682,20.419043821099883,0.1632595598085262,145.1,75.45,145.63,75.11,67.6470588235294,2.8937777350432308,35.65882352941176,5.213428040433004,OK
QUADRADO,7,2025-05-08 10:27:17/10:52:36,-0.004171779141102767,0.2800000000000011,0.0011656441717789515,19.90021322605891,19.70732127748371,0.6994056326579811,143.85,75.11,145.29,74.81,69.60736196319019,2.5103134987489235,34.717791411042946,4.577871091894118,OK
RETANGULO,8,2025-05-12 09:03:02/09:18:38,0.019600000000001123,1.3199999999999932,-0.0002666666666668971,18.985388383818048,43.113183421836325,0.09078211319972958,144.55,74.37,170.16,50.52,66.44,4.984408121765745,34.32,4.439259738630645,OK
RETANGULO,9,2025-05-12 11:10:27/11:10:30,-0.00500000000000965,0.0099999999999909,-0.004999999999999,3.203193718775061,0.0,0.0,91.18,86.65,61.56,61.56,72.5,0.7071067811865476,34.0,1.4142135623730951,OK
RETANGULO,10,2025-05-12 13:14:28/13:25:28,0.005660377358490776,0.4300000000000068,0.0005660377358489434,18.480429443013225,36.05662273824442,0.07286426149573089,138.37,75.16,169.74,50.9,65.69811320754717,1.7274359128753334,31.18867924528302,3.600516008817801,OK
L,11,2025-05-13 08:58:31/09:13:55,0.0074193548387111825,0.4000000000000057,0.001827956989247099,21.95786318737108,36.87300038988974,0.08772331944262289,144.63,74.75,170.53,50.52,66.40860215053763,1.7335347097751823,31.967741935483872,3.7371565943829133,NOK
