Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Variação X,Variação Z,X_min,Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,Taxa Variação temp_nozzle,Resultado
RETANGULO,25,2025-05-21 09:42:47/10:03:09,200.0,-0.064011299435028,1.210000000000008,0.0010734463276834813,1.1299435028248588,83.0013093289689,100.56818181818181,70.14999999999999,0.6000000000000001,75.11,68.82485875706215,10.643919151079166,32.31073446327684,3.828652151659616,0.1580113636363628,NOK
L,26,2025-05-21 11:38:56/12:09:02,200.0,-0.03361702127659432,2.0900000000000034,0.0013191489361698279,1.702127659574468,83.63222591362126,100.42735042735043,115.25,0.6000000000000001,49.47,68.46808510638297,7.058519323162685,31.34468085106383,5.005586985851145,0.14264957264957273,NOK
QUADRADO,28,2025-05-26 14:25:17/14:34:10,250.0,0.22815217391304296,19.370000000000005,0.001195652173912727,8.695652173913043,95.68255159474673,101.0989010989011,68.73999999999998,0.6000000000000001,76.15,69.5,20.769536017292886,31.891304347826086,4.25675035146603,1.0151648351648364,NOK
QUADRADO,29,2025-05-28 10:23:15/10:42:56,100.0,-1.6306201550387582,4.289999999999992,7.751937984456058e-05,20.930232558139537,43.46011854360711,100.78125,70.32,0.6000000000000001,74.31,68.55813953488372,30.87371125264386,31.891472868217054,5.085580580913181,2.137500000000002,OK
RETANGULO,30,2025-05-29 13:14:59/13:35:31,192.61744966442953,-0.005133333333332645,0.1599999999999966,-0.001200000000000328,0.0,74.44675324675323,100.67114093959732,57.889999999999986,0.6000000000000001,77.09,67.45333333333333,2.6737266722074224,29.093333333333334,3.9003470275249925,0.04087248322147592,OK
RETANGULO,31,2025-05-30 10:27:29/10:47:43,195.5759493670886,-0.005283018867922941,0.3100000000000023,-0.0003773584905662748,0.0,79.15749588138385,100.63291139240506,59.56999999999999,0.6000000000000001,84.28,68.0251572327044,3.2800696301936756,29.28930817610063,3.745623457846598,0.06613924050632992,OK
RETANGULO,32,2025-05-30 13:07:06/13:27:34,200.0,0.01030487804878238,1.3199999999999932,-0.0005487804878050278,0.0,82.69837133550489,100.61349693251533,70.57999999999998,0.6000000000000001,74.37,67.76219512195122,3.948849028363887,29.76829268292683,4.105357207769101,0.06472392638036657,OK
L,33,2025-06-02 09:27:38/10:04:21,150.0,-0.004691943127960241,0.1899999999999977,0.0005687203791469402,0.0,65.20335905583295,100.47619047619048,108.63,0.6000000000000001,51.25,67.93364928909952,2.812447747702882,28.28909952606635,4.48986420884384,0.040238095238093394,OK
L,34,2025-06-02 14:35:16/15:05:27,199.77777777777777,0.013822222222222536,1.1699999999999875,-0.00017777777777786843,0.0,83.57725013804527,100.44642857142858,118.55000000000001,0.6000000000000001,51.25,67.75555555555556,3.9571113401988276,31.16,5.167826290755967,0.06812499999999955,OK
L,35,2025-06-03 09:00:26/09:34:32,175.109649122807,-0.3528508771929815,2.280000000000001,0.0017982456140350708,2.1929824561403506,74.04868035190616,100.44052863436124,119.70000000000002,0.6000000000000001,49.41,68.97368421052632,10.035584727166487,29.37280701754386,5.510627059432018,0.4205286343612335,OK
