Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Variação X,Variação Y,Variação Z,X_max,X_min,Y_max,Y_min,Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,Resultado
L,26,2025-05-21 11:38:56/12:09:02,200.0,-0.03361702127659432,2.0900000000000034,0.0013191489361698279,1.702127659574468,83.63222591362126,100.42735042735043,33.88258750904983,33.48841724523324,0.226352595220724,164.72,49.47,170.13,49.47,68.46808510638297,7.058519323162685,31.34468085106383,5.005586985851145,NOK
QUADRADO,27,2025-05-26 13:04:14/13:17:51,150.0,-0.06033613445378133,2.539999999999992,-0.0015966386554623429,3.361344537815126,62.943451652386784,100.84745762711864,20.803773154246667,16.858095548700835,0.22697957294585266,145.24,74.37,144.84,74.32,67.85714285714286,11.40939674743743,32.865546218487395,5.998480555838948,NOK
QUADRADO,28,2025-05-26 14:25:17/14:34:10,250.0,0.22815217391304296,19.370000000000005,0.001195652173912727,8.695652173913043,95.68255159474673,101.0989010989011,21.23196151952417,19.222700558408587,0.22819635973283564,144.89,76.15,145.3,77.66,69.5,20.769536017292886,31.891304347826086,4.25675035146603,NOK
QUADRADO,29,2025-05-28 10:23:15/10:42:56,100.0,-1.6306201550387582,4.289999999999992,7.751937984456058e-05,20.930232558139537,43.46011854360711,100.78125,20.38953597473516,20.24127663096285,0.22696173225232652,144.63,74.31,145.02,75.42,68.55813953488372,30.87371125264386,31.891472868217054,5.085580580913181,OK
RETANGULO,30,2025-05-29 13:14:59/13:35:31,192.61744966442953,-0.005133333333332645,0.1599999999999966,-0.001200000000000328,0.0,74.44675324675323,100.67114093959732,21.104424984229937,34.41256222429773,0.21321445233511674,134.98,77.09,169.79,54.37,67.45333333333333,2.6737266722074224,29.093333333333334,3.9003470275249925,OK
RETANGULO,31,2025-05-30 10:27:29/10:47:43,195.5759493670886,-0.005283018867922941,0.3100000000000023,-0.0003773584905662748,0.0,79.15749588138385,100.63291139240506,21.48241638561239,35.074793378308144,0.21910210411519285,143.85,84.28,169.74,61.36,68.0251572327044,3.2800696301936756,29.28930817610063,3.745623457846598,OK
RETANGULO,32,2025-05-30 13:07:06/13:27:34,200.0,0.01030487804878238,1.3199999999999932,-0.0005487804878050278,0.0,82.69837133550489,100.61349693251533,17.638689749238143,38.48970713101651,0.22591029882536864,144.95,74.37,163.57,49.69,67.76219512195122,3.948849028363887,29.76829268292683,4.105357207769101,OK
L,33,2025-06-02 09:27:38/10:04:21,150.0,-0.004691943127960241,0.1899999999999977,0.0005687203791469402,0.0,65.20335905583295,100.47619047619048,33.383203917681776,37.75733388661375,0.2180482141561413,159.88,51.25,169.79,53.02,67.93364928909952,2.812447747702882,28.28909952606635,4.48986420884384,OK
L,34,2025-06-02 14:35:16/15:05:27,199.77777777777777,0.013822222222222536,1.1699999999999875,-0.00017777777777786843,0.0,83.57725013804527,100.44642857142858,34.11535140403269,39.0159089168907,0.225103150958463,169.8,51.25,170.13,49.47,67.75555555555556,3.9571113401988276,31.16,5.167826290755967,OK
L,35,2025-06-03 09:00:26/09:34:32,175.109649122807,-0.3528508771929815,2.280000000000001,0.0017982456140350708,2.1929824561403506,74.04868035190616,100.44052863436124,35.0076581720366,34.45891410768474,0.22693466696680503,169.11,49.41,166.6,49.42,68.97368421052632,10.035584727166487,29.37280701754386,5.510627059432018,OK
QUADRADO,36,2025-06-03 11:33:44/11:45:38,174.0095238095238,-0.12171428571428572,1.0699999999999932,0.0013333333333332695,2.857142857142857,71.89159663865546,100.96153846153845,20.773091269214625,20.694638717954625,0.22463645844238744,145.26,74.98,144.84,74.71,68.72380952380952,11.786967410347785,33.03809523809524,5.274984158787387,OK
QUADRADO,37,2025-06-03 12:36:21/12:47:06,199.73737373737373,-0.1038383838383827,1.3100000000000025,0.00030303030303024237,2.0202020202020203,79.78511627906977,101.0204081632653,19.899302129268527,18.12804575394554,0.22625084635236123,144.38,84.28,144.84,74.32,68.84848484848484,9.117558342553677,32.74747474747475,4.6210331788099,OK
QUADRADO,38,2025-06-03 13:42:49/13:53:26,200.0,-0.008736842105263608,14.28,-0.0029473684210527895,5.263157894736842,80.54034536891679,101.06382978723406,18.287545619706137,19.621644522093447,0.22501959601116023,145.49,74.77,144.84,74.71,67.15789473684211,14.479123481665333,32.8421052631579,5.043039841193567,OK
L,39,2025-06-03 15:41:10/16:27:17,124.89082969432314,0.0018340611353724909,0.7199999999999989,0.0003056768558950732,0.0,54.71123960968558,100.43859649122805,34.44334509704292,29.403940646550275,0.22468514364463713,169.74,49.81,170.53,50.21,67.77729257641921,3.3584417866324605,30.716157205240176,4.399237482941614,OK
QUADRADO,40,2025-06-04 07:14:04/07:30:03,125.0,-0.009652173913042851,0.5500000000000114,-0.000869565217391686,0.0,53.31303441084463,100.87719298245614,21.14626138377799,20.615077702506888,0.22119569668482264,145.63,74.3,144.38,75.44,67.76521739130435,3.419065314931124,32.947826086956525,5.499351601749463,OK
RETANGULO,41,2025-06-04 08:56:26/09:19:33,172.00598802395209,-0.0022155688622753017,0.5300000000000011,0.0005988023952095034,0.0,73.16496034607066,100.60240963855422,16.735408515753768,37.55428082623896,0.22490488895491856,145.02,75.06,169.45,49.4,67.8622754491018,3.41491443147162,30.91616766467066,5.12072704463879,OK
RETANGULO,42,2025-06-04 11:09:17/11:28:53,209.7826086956522,0.007763975155279858,1.4799999999999898,-0.0004968944099380974,0.0,86.32704081632653,100.62500000000001,20.452425152523237,35.956960748125475,0.2257217547313644,145.63,80.82,170.13,49.85,67.71428571428571,4.8649621933635965,31.167701863354036,4.75031054885457,OK
QUADRADO,43,2025-06-04 13:19:47/13:30:02,210.0,0.01826530612245093,1.7299999999999898,0.0026530612244895545,0.0,83.49951219512195,101.03092783505154,19.935030621139486,19.687340203165956,0.22794464873428796,145.68,74.77,144.5,74.71,67.3265306122449,6.719375753719373,32.13265306122449,5.696151269098675,OK
